close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
757.95,2018-03-08 07:00:00,758.31,36.0,22.0,36.0,74.0,38.0,31.0,53.0,0.0,57.0,41.0,7.0,46.0,19.0,20.0,18.0,44.0,32.0,45.0,746.66,11300.0,10000.0,747.99,26564500.0,11695.55,8819529.85
759.87,2018-03-08 08:00:00,760.02,33.0,30.0,35.0,92.0,39.0,31.0,37.0,10.0,57.0,35.0,19.0,63.0,19.0,24.0,34.0,45.0,61.0,34.0,755.81,11300.0,10000.0,757.95,26564500.0,8701.46,6601719.11
772.09,2018-03-08 09:00:00,772.51,27.0,8.0,44.0,44.0,35.0,32.0,37.0,30.0,44.0,62.0,0.0,61.0,20.0,30.0,34.0,43.0,72.0,31.0,759.75,11600.0,12100.0,759.86,50350500.0,12371.18,9487452.5
767.81,2018-03-08 10:00:00,772.32,32.0,6.0,31.0,63.0,35.0,35.0,29.0,20.0,51.0,24.0,9.0,57.0,28.0,39.0,30.0,47.0,12.0,25.0,763.8,11000.0,10600.0,772.01,43817700.0,8393.87,6449738.22
764.84,2018-03-08 11:00:00,769.25,41.0,9.0,31.0,73.0,35.0,32.0,34.0,6.0,58.0,28.0,9.0,31.0,24.0,47.0,28.0,28.0,23.0,27.0,764.28,11000.0,10600.0,767.81,43817700.0,8200.98,6284927.19
745.62,2018-03-08 12:00:00,765.1,44.0,10.0,23.0,53.0,34.0,33.0,34.0,18.0,54.0,21.0,15.0,42.0,33.0,54.0,18.0,37.0,9.0,30.0,742.31,11000.0,10600.0,764.84,43817700.0,16547.5,12425163.82
751.42,2018-03-08 13:00:00,751.63,47.0,12.0,20.0,60.0,29.0,28.0,37.0,19.0,58.0,23.0,18.0,27.0,12.0,42.0,25.0,26.0,14.0,35.0,738.41,11000.0,10600.0,745.6,43817700.0,14775.86,11003297.97
743.38,2018-03-08 14:00:00,753.51,51.0,15.0,20.0,61.0,29.0,35.0,33.0,6.0,40.0,29.0,6.0,46.0,23.0,43.0,28.0,23.0,23.0,27.0,742.65,11000.0,10600.0,751.42,43817700.0,9389.0,7018743.73
751.23,2018-03-08 15:00:00,752.45,79.0,18.0,19.0,48.0,29.0,33.0,36.0,6.0,33.0,13.0,6.0,28.0,14.0,22.0,24.0,22.0,16.0,27.0,743.2,11000.0,10600.0,743.38,43817700.0,10630.07,7968272.8
717.58,2018-03-08 16:00:00,751.4,99.0,12.0,20.0,58.0,32.0,38.0,34.0,13.0,42.0,33.0,7.0,19.0,17.0,29.0,26.0,24.0,21.0,40.0,715.71,11000.0,10600.0,751.23,43817700.0,38545.58,28177622.3
